CATEGORY,SUB-CATEGORY,ITEM,SUPPLIER,UNIT COST (€),QUANTITY / MONTH,TOTAL (€),NOTES
BOM (Hardware),Compute,Compute Module 5 (CM5) 4GB,Raspberry Pi Ltd,55.00,1,55.00,OEM volume pricing >1k
BOM (Hardware),Compute,Passive Heat Sink,Local Metal,1.20,1,1.20,Custom extruded aluminum
BOM (Hardware),Vision,IMX219 Camera Module (Wide),Arducam,8.50,3,25.50,"3 viewing angles (Top, Middle, Bottom)"
BOM (Hardware),Vision,FFC Flat Cable,Molex,0.45,3,1.35,EMI shielding required
BOM (Hardware),PCB,Custom Motherboard (Carrier Board),JLCPCB / PCBWay,12.00,1,12.00,"4 layers, ENIG finish"
BOM (Hardware),PCB,Microcontroller (Real-time Management),STM32G030,1.80,1,1.80,Door sensor & LED management
BOM (Hardware),Sensors,Temp/Humidity Sensor (I2C),Sensirion SHT40,2.10,1,2.10,Accuracy +/- 0.2C
BOM (Hardware),Sensors,Door Sensor (Reed Switch),DigiKey,0.60,2,1.20,Door open detection
BOM (Hardware),Interface,7-inch LCD Touch Screen,BOE / Tianma,35.00,1,35.00,External user interface
BOM (Hardware),Power,AC/DC Converter 5V 5A,Mean Well,14.50,1,14.50,CE/UL certified industrial quality
BOM (Hardware),Enclosure,Plastic Injection (ABS),Partner Factory,18.00,1,18.00,2-cavity mold
BOM (Hardware),Misc,Fasteners & Assembly,-,2.00,1,2.00,
,,BOM SUBTOTAL (per unit),,,,169.65,Target gross margin: 40%
CAPEX (One-off),Tooling,Steel Injection Mold (Chassis),Foxconn Molding,45000.00,1,45000.00,Lifespan: 500k cycles
CAPEX (One-off),Tooling,Injection Mold (Camera Support),Foxconn Molding,12000.00,1,12000.00,Optical precision required
CAPEX (One-off),R&D,Test Bench (Camera Calibration),Internal,8500.00,1,8500.00,Automated calibration target
CAPEX (One-off),Legal,CE/RED Certification (Europe),TUV Rheinland,15000.00,1,15000.00,EMC and Radio tests
CAPEX (One-off),Legal,FCC Certification (USA),SGS Labs,18000.00,1,18000.00,Part 15 Class B
,,CAPEX SUBTOTAL,,,,98500.00,
OPEX (Monthly),HR,Lead Developer (Embedded),Internal,6500.00,6,39000.00,Loaded salary (France)
OPEX (Monthly),HR,Data Scientist (Computer Vision),Freelance,800.00 (daily rate),80 (days),64000.00,Senior Expert
OPEX (Monthly),HR,Project Manager,Internal,5800.00,6,34800.00,Loaded salary
OPEX (Monthly),Cloud,AWS IoT Core (MQTT),Amazon AWS,0.05 (per device),100,30.00,Dev environment
OPEX (Monthly),Cloud,S3 Storage (Image Dataset),Amazon AWS,0.023 (per GB),5000,115.00,Training data
OPEX (Monthly),Office,Electronics Lab Rent,WeWork/Labs,2500.00,6,15000.00,Paris city center
,,OPEX SUBTOTAL (6 Months),,,,152945.00,
,,TOTAL PROJECT BUDGET,,,,251614.65,Funding requirement
